,codigo_ocorrencia2,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
663,44055,PRAYC,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,52290,52290,125.0,2008.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
664,44060,PTYUQ,PARTICULAR,HELICÓPTERO,BELL HELICOPTER,407,B407,TURBOEIXO,MONOMOTOR,2268,2268,7.0,1996.0,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,LEVE,0
665,44062,PTOYS,PARTICULAR,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,2449,6.0,1979.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
666,44064,PTLLM,PARTICULAR,AVIÃO,BEECH AIRCRAFT,F33A,BE33,PISTÃO,MONOMOTOR,1542,1542,4.0,1990.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
667,44078,PTVMG,not informed,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PA32,PISTÃO,MONOMOTOR,1633,1633,7.0,1990.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,PRIVADA,SUBSTANCIAL,0
668,44079,PTLFL,not informed,AVIÃO,BEECH AIRCRAFT,A36,BE36,PISTÃO,MONOMOTOR,1633,1633,6.0,1972.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,PRIVADA,SUBSTANCIAL,0
669,44081,PTUVE,not informed,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2008.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
670,44082,PTUJU,not informed,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1995.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,SÃO JOSÉ,MAESTRO WILSON FONSECA,ESPECIALIZADA,AGRÍCOLA,DESTRUÍDA,1
671,44085,PRWJD,REGULAR,AVIÃO,BOEING COMPANY,737-3Y0,B733,JATO,BIMOTOR,62282,62282,156.0,1988.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,NENHUM,0
672,44086,PRWJB,REGULAR,AVIÃO,BOEING COMPANY,737-341,B733,JATO,BIMOTOR,61235,61235,156.0,1991.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,REGULAR,NENHUM,0
673,44087,PTOKK,PARTICULAR,AVIÃO,BEECH AIRCRAFT,E55,BE55,PISTÃO,BIMOTOR,2260,2260,6.0,1981.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
