,codigo_ocorrencia1,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao
4994,78722,VOO CONTROLADO CONTRA O TERRENO,VOO CONTROLADO CONTRA O TERRENO,CFIT
4995,78723,FUMAÇA NA CABINE,FOGO/FUMAÇA (SEM IMPACTO) | FUMAÇA NA CABINE,F-NI
4996,78724,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
4997,78725,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO,SCF-NP
4998,78726,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
4999,78727,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
5000,78728,INDETERMINADO,INDETERMINADO,UNK
5001,78730,COLISÃO COM FAUNA,COLISÃO COM FAUNA,WILD
5002,78731,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
5003,78732,PANE SECA,COMBUSTÍVEL | PANE SECA,FUEL
5004,78733,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
5005,78735,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
5006,78737,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
5007,78738,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
5008,78740,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
5009,78741,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
5010,78742,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
5011,78743,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
5012,78743,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
5013,78744,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
5014,78745,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
5015,78746,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
5016,78747,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
