,codigo_ocorrencia1,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao
0,39115,PANE SECA,COMBUSTÍVEL | PANE SECA,FUEL
1,39155,VAZAMENTO DE COMBUSTÍVEL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | VAZAMENTO DE COMBUSTÍVEL,SCF-NP
2,39156,FOGO EM VOO,FOGO/FUMAÇA (SEM IMPACTO) | FOGO EM VOO,F-NI
3,39158,SUPERAQUECIMENTO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | SUPERAQUECIMENTO,SCF-PP
4,39176,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
5,39178,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
6,39235,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
7,39275,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
8,39295,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
9,39315,OUTROS,OUTROS,OTHR
10,39316,POUSO ANTES DA PISTA,POUSO AQUÉM/ALÉM DA PISTA | POUSO ANTES DA PISTA,USOS
11,39317,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,ARC
12,39318,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
13,39319,PANE SECA,COMBUSTÍVEL | PANE SECA,FUEL
14,39320,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
15,39321,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
16,39322,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
17,39323,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
18,39365,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
19,39367,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
20,39385,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,ARC
21,39386,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
22,39405,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
23,39487,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,ARC
24,39507,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
25,39527,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT
26,39627,F.O.D.,OUTROS | F.O.D.,OTHR
27,39687,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
28,39707,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
29,39709,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
30,39711,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
31,39727,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
32,39747,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL
33,39748,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL
34,39768,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OTHR
35,39772,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
36,39787,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
37,39789,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
38,39807,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
39,39809,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
40,39810,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
41,39828,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
42,39847,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO,GCOL
43,39848,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OTHR
44,39849,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
45,39850,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
46,39851,OUTROS,OUTROS,OTHR
47,39887,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
48,39910,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO,GCOL
49,39913,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,SCF-NP
50,39913,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
51,39914,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
52,39916,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
53,39930,PROBLEMAS FISIOLÓGICOS,OUTROS | PROBLEMAS FISIOLÓGICOS,OTHR
54,39933,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL
55,39967,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
56,39969,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
57,39972,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
58,39987,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
59,39988,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
60,39992,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
61,39993,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
62,40027,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
63,40069,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
64,40087,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
65,40088,POUSO LONGO,EXCURSÃO DE PISTA | POUSO LONGO,RE
66,40089,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
67,40107,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL
68,40147,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
69,40147,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
70,40148,PANE SECA,COMBUSTÍVEL | PANE SECA,FUEL
71,40149,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
72,40150,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
73,40168,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
74,40170,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
75,40171,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
76,40190,OUTROS,OUTROS,OTHR
77,40207,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC
78,40209,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
79,40210,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
80,40211,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC
81,40212,FALHA DO MOTOR NO SOLO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR NO SOLO,SCF-PP
82,40213,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
83,40214,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,OTHR
84,40215,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC
85,40227,VAZAMENTO DE OUTROS FLUIDOS,OUTROS | VAZAMENTO DE OUTROS FLUIDOS,OTHR
86,40228,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
87,40247,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
88,40248,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
89,40250,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
90,40251,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
91,40258,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO,GCOL
92,40260,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
93,40261,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,ARC
94,40262,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO,GCOL
95,40264,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,OTHR
96,40267,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
97,40269,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
98,40269,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
99,40270,FOGO NO SOLO,FOGO/FUMAÇA (SEM IMPACTO) | FOGO NO SOLO,F-NI
100,40271,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
101,40273,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,SCF-NP
102,40275,OUTROS,OUTROS,OTHR
103,40287,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
104,40288,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
105,40290,OUTROS,OUTROS,OTHR
106,40291,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
107,40292,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
108,40293,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
109,40294,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
110,40295,OUTROS,OUTROS,OTHR
111,40296,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
112,40307,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
113,40310,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC
114,40311,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC
115,40312,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
116,40314,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
117,40316,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
118,40318,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
119,40320,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
120,40321,OUTROS,OUTROS,OTHR
121,40322,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
122,40323,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
123,40324,OUTROS,OUTROS,OTHR
124,40325,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,OTHR
125,40326,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
126,40327,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC
127,40328,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
128,40329,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
129,40330,OUTROS,OUTROS,OTHR
130,40331,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OTHR
131,40332,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC
132,40349,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
133,40350,PANE SECA,COMBUSTÍVEL | PANE SECA,FUEL
134,40351,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
135,40352,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC
136,40412,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
137,40413,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
138,40414,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
139,40447,INDETERMINADO,INDETERMINADO,UNK
140,40489,VAZAMENTO DE OUTROS FLUIDOS,OUTROS | VAZAMENTO DE OUTROS FLUIDOS,OTHR
141,40508,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
142,40554,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
143,40572,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
144,40573,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
145,40575,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
146,40576,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
147,40577,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
148,40579,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
149,40581,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
150,40583,PERDA DE COMPONENTE NO SOLO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE NO SOLO,SCF-NP
151,40617,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
152,40620,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,SCF-NP
153,40621,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
154,40622,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
155,40623,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
156,40624,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
157,40652,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
158,40732,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
159,40774,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
160,40791,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
161,40793,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
162,40793,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
163,40819,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,SCF-NP
164,40821,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
165,40823,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
166,40825,SOPRO DE REATOR,OUTROS | SOPRO DE REATOR,OTHR
167,40826,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC
168,40827,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC
169,40834,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
170,40835,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
171,40837,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO,SCF-NP
172,40839,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
173,40842,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
174,40843,OUTROS,OUTROS,OTHR
175,40853,COM COMANDOS DE VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM COMANDOS DE VOO,SCF-NP
176,40855,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
177,40933,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
178,41053,VOO CONTROLADO CONTRA O TERRENO,VOO CONTROLADO CONTRA O TERRENO,CFIT
179,41054,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
180,41132,OUTROS,OUTROS,OTHR
181,41155,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
182,41155,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
183,41172,OUTROS,OUTROS,OTHR
184,41174,COLISÃO COM AVE,COLISÃO COM AVE,BIRD
185,41177,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
186,41178,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
187,41179,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP
188,41181,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
189,41224,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
190,41235,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
191,41236,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL
192,41252,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
193,41272,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
194,41274,OUTROS,OUTROS,OTHR
195,41374,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
196,41375,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
197,41376,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
198,41377,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,ARC
199,41378,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
200,41392,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
201,41393,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
202,41394,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,SCF-NP
203,41409,AERONAVE ATINGIDA POR OBJETO,OUTROS | AERONAVE ATINGIDA POR OBJETO,OTHR
204,41411,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE
205,41411,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
206,41480,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,ARC
207,41481,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
208,41482,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
209,41484,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
210,41485,FALHA DO MOTOR NO SOLO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR NO SOLO,SCF-PP
211,41487,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP
212,41488,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I
213,41551,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP
214,41552,OUTROS,OUTROS,OTHR
215,41553,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
216,41569,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G
217,41571,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,SCF-NP
218,41573,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP
